CM,TRI,CY,FAM,WOM,PR,SR,FR,TR,PU,PEOU,ITU,PUFR,PUSR,PUPR,PEOUFR,PEOUSR,PEOUPR
4.00 ,4.00 ,4.00 ,3.00 ,3.33 ,4.67 ,3.25 ,4.00 ,3.00 ,3.50 ,3.00 ,4.00 ,12.00 ,11.38 ,16.33 ,12.00 ,9.75 ,14.00 
5.00 ,5.00 ,4.50 ,4.50 ,3.33 ,5.00 ,3.75 ,3.00 ,3.75 ,3.75 ,4.25 ,5.00 ,12.75 ,14.06 ,18.75 ,12.75 ,15.94 ,21.25 
4.00 ,4.25 ,4.25 ,4.00 ,4.00 ,5.00 ,3.25 ,4.00 ,3.25 ,4.00 ,4.00 ,4.00 ,16.00 ,13.00 ,20.00 ,16.00 ,13.00 ,20.00 
4.67 ,4.00 ,3.75 ,3.50 ,5.00 ,5.00 ,3.50 ,3.67 ,3.00 ,3.75 ,4.00 ,4.00 ,14.67 ,13.13 ,18.75 ,14.67 ,14.00 ,20.00 
4.00 ,3.75 ,5.00 ,4.00 ,5.00 ,5.00 ,3.25 ,4.67 ,3.25 ,4.50 ,4.50 ,4.00 ,21.00 ,14.63 ,22.50 ,21.00 ,14.63 ,22.50 
4.00 ,3.25 ,3.50 ,3.00 ,2.33 ,3.67 ,4.25 ,3.33 ,3.00 ,4.25 ,3.25 ,4.00 ,10.83 ,18.06 ,15.58 ,10.83 ,13.81 ,11.92 
4.00 ,4.00 ,3.75 ,4.00 ,4.00 ,4.00 ,4.00 ,3.33 ,4.00 ,4.00 ,4.00 ,4.00 ,13.33 ,16.00 ,16.00 ,13.33 ,16.00 ,16.00 
4.33 ,4.25 ,3.75 ,3.00 ,3.67 ,4.00 ,4.00 ,2.00 ,4.00 ,4.00 ,3.25 ,3.50 ,6.50 ,16.00 ,16.00 ,6.50 ,13.00 ,13.00 
5.00 ,4.50 ,5.00 ,4.00 ,3.00 ,3.67 ,4.00 ,3.33 ,3.50 ,5.00 ,5.00 ,5.00 ,16.67 ,20.00 ,18.33 ,16.67 ,20.00 ,18.33 
4.00 ,4.25 ,3.25 ,3.00 ,3.67 ,3.67 ,3.00 ,2.67 ,3.00 ,3.00 ,4.00 ,4.00 ,10.67 ,9.00 ,11.00 ,10.67 ,12.00 ,14.67 
5.00 ,4.50 ,4.00 ,4.00 ,3.67 ,4.67 ,4.00 ,4.67 ,3.25 ,4.25 ,4.00 ,5.00 ,18.67 ,17.00 ,19.83 ,18.67 ,16.00 ,18.67 
5.00 ,5.00 ,4.25 ,4.50 ,4.00 ,5.00 ,5.00 ,4.33 ,4.25 ,4.00 ,4.00 ,4.75 ,17.33 ,20.00 ,20.00 ,17.33 ,20.00 ,20.00 
5.00 ,4.50 ,4.00 ,4.50 ,4.33 ,5.00 ,5.00 ,4.00 ,5.00 ,4.50 ,5.00 ,5.00 ,20.00 ,22.50 ,22.50 ,20.00 ,25.00 ,25.00 
3.00 ,3.50 ,3.00 ,3.00 ,4.00 ,5.00 ,3.75 ,4.00 ,3.50 ,3.50 ,2.00 ,4.00 ,8.00 ,13.13 ,17.50 ,8.00 ,7.50 ,10.00 
5.00 ,4.00 ,3.75 ,4.50 ,4.33 ,5.00 ,4.00 ,3.33 ,3.25 ,4.00 ,4.00 ,4.00 ,13.33 ,16.00 ,20.00 ,13.33 ,16.00 ,20.00 
3.00 ,3.25 ,2.50 ,2.00 ,3.00 ,4.67 ,2.50 ,3.67 ,3.00 ,3.00 ,2.00 ,3.00 ,7.33 ,7.50 ,14.00 ,7.33 ,5.00 ,9.33 
3.33 ,3.25 ,2.50 ,3.00 ,3.33 ,2.33 ,2.50 ,3.67 ,3.00 ,3.00 ,2.50 ,3.00 ,9.17 ,7.50 ,7.00 ,9.17 ,6.25 ,5.83 
4.00 ,3.75 ,3.50 ,3.00 ,3.00 ,4.67 ,3.25 ,3.33 ,5.00 ,4.50 ,4.00 ,4.00 ,13.33 ,14.63 ,21.00 ,13.33 ,13.00 ,18.67 
3.67 ,3.75 ,3.75 ,2.00 ,2.33 ,4.33 ,3.00 ,5.00 ,3.00 ,3.00 ,2.25 ,3.00 ,11.25 ,9.00 ,13.00 ,11.25 ,6.75 ,9.75 
4.33 ,3.75 ,3.75 ,3.00 ,4.33 ,5.00 ,3.50 ,3.00 ,3.00 ,4.00 ,3.25 ,4.00 ,9.75 ,14.00 ,20.00 ,9.75 ,11.38 ,16.25 
4.00 ,4.00 ,2.00 ,4.00 ,3.67 ,4.00 ,3.75 ,4.00 ,4.00 ,4.00 ,3.75 ,4.00 ,15.00 ,15.00 ,16.00 ,15.00 ,14.06 ,15.00 
4.00 ,3.75 ,3.25 ,3.00 ,4.00 ,3.67 ,4.50 ,3.00 ,3.75 ,3.25 ,3.50 ,5.00 ,10.50 ,14.63 ,11.92 ,10.50 ,15.75 ,12.83 
